subject,session,unit,n_fast,n_slow,pulse_fwhm_all,pulse_spread_all
BG_031,BG_031_120325,287,14406,14571,0.1244264801160872,0.21928789347803046
BG_031,BG_031_120325,340,14406,14571,0.10886885494574608,0.19699749658988522
BG_031,BG_031_120325,353,14406,14571,0.1243397998017175,0.20232397568385901
BG_031,BG_031_120325,362,14406,14571,0.08045990599330477,0.22097257812178323
BG_031,BG_031_120325,369,14406,14571,0.06600690481320626,0.2642956108334674
BG_031,BG_031_120325,376,14406,14571,0.055554957995807674,0.2603318477836403
BG_031,BG_031_120325,388,14406,14571,0.09558251946505814,0.2203413645739249
BG_031,BG_031_120325,424,14406,14571,0.06191702137020212,0.23129263385641627
BG_031,BG_031_120325,437,14406,14571,0.19167239215693166,0.20775315933948763
BG_031,BG_031_120325,524,14406,14571,0.06781545650389818,0.2684815080149884
BG_031,BG_031_120325,542,14406,14571,0.07860343258515118,0.2170453772688544
BG_031,BG_031_120325,555,14406,14571,0.10406146893290205,0.24465991953682617
BG_031,BG_031_120325,567,14406,14571,0.07400551550742851,0.21695565373338221
BG_031,BG_031_250325,15,17659,18141,0.43192895280629845,0.18448323073157658
BG_031,BG_031_250325,121,17659,18141,0.06853715057860321,0.27584596315704246
BG_031,BG_031_250325,196,17659,18141,0.1531575351394736,0.22776202065162449
BG_031,BG_031_250325,287,17659,18141,0.07349240441492488,0.2438840839661102
BG_031,BG_031_250325,294,17659,18141,0.19667245239061876,0.18957439952874258
BG_031,BG_031_250325,368,17659,18141,0.03282712650690858,0.27667556528964354
BG_031,BG_031_250325,409,17659,18141,0.22115991866275345,0.1877455465806791
BG_031,BG_031_250325,411,17659,18141,0.06599782145941264,0.22971595188179422
BG_031,BG_031_250325,419,17659,18141,0.09474784060758612,0.258413401318461
