n_trials,f_stimsens,f_impulsive,dwell_stimsens,dwell_impulsive,switch_rate,recovery,persistence,subject,region,sid,d_prime
875,0.16914285714285715,0.7257142857142858,9.866666666666667,52.916666666666664,0.038901601830663615,0.01732283464566929,0.8986486486486487,BG_038,cortex,00270325,1.4612601201826938
518,0.29922779922779924,0.4806949806949807,8.61111111111111,16.6,0.0735009671179884,0.05622489959839357,0.8896103896103896,BG_038,cortex,27082025,1.2067783682978224
534,0.3857677902621723,0.31647940074906367,9.363636363636363,15.363636363636363,0.08067542213883677,0.0650887573964497,0.8932038834951457,BG_038,cortex,28072025,1.1471477343152887
429,0.12121212121212122,0.8787878787878788,4.333333333333333,31.416666666666668,0.053738317757009345,0.02925531914893617,0.7692307692307693,BG_038,cortex,29042025,1.6700548249984344
189,0.7724867724867724,0.2275132275132275,24.333333333333332,7.166666666666667,0.05851063829787234,0.13953488372093023,0.9655172413793104,BG_038,cortex,29052025,2.3686273698552407
343,0.5102040816326531,0.21282798833819241,14.583333333333334,12.166666666666666,0.07017543859649122,0.0821917808219178,0.9314285714285714,BG_040,TBD,02052025,0.9520349292212474
239,0.497907949790795,0.09623430962343096,10.818181818181818,5.75,0.09243697478991597,0.17391304347826086,0.907563025210084,BG_040,TBD,10062025,1.4298518974202572
254,0.6929133858267716,0.19291338582677164,29.333333333333332,16.333333333333332,0.04743083003952569,0.061224489795918366,0.9659090909090909,BG_040,TBD,12062025,1.9153510424861515
286,0.5874125874125874,0.3741258741258741,12.923076923076923,10.7,0.08421052631578947,0.09345794392523364,0.9281437125748503,BG_040,TBD,13052025,1.2785909585465671
636,0.08647798742138364,0.9135220125786163,4.230769230769231,48.416666666666664,0.03779527559055118,0.020654044750430294,0.7777777777777778,BG_040,TBD,15052025,1.8422175489265016
317,0.3438485804416404,0.01892744479495268,13.625,,0.04746835443037975,,0.926605504587156,BG_040,TBD,16062025,1.2097839583254055
386,0.6373056994818653,0.27979274611398963,24.6,13.5,0.04935064935064935,0.07407407407407407,0.959349593495935,BG_040,TBD,18062025,1.1869024764624254
517,0.09864603481624758,0.8878143133462283,3.923076923076923,35.30769230769231,0.050387596899224806,0.026200873362445413,0.7450980392156863,BG_040,TBD,19052025,1.5295853279220193
349,0.5644699140401146,0.42406876790830944,32.833333333333336,37.0,0.028735632183908046,0.02702702702702703,0.9744897959183674,BG_040,TBD,27062025,1.634578170298431
301,0.7408637873754153,0.24916943521594684,31.857142857142858,12.5,0.043333333333333335,0.08,0.972972972972973,BG_040,TBD,30052025,2.2779805495705783
580,0.13275862068965516,0.7034482758620689,5.5,45.333333333333336,0.05008635578583765,0.019656019656019656,0.8181818181818182,BG_049,TBD,01092025,0.912793347567526
583,0.08061749571183534,0.8216123499142367,4.7,59.875,0.03608247422680412,0.014613778705636743,0.7872340425531915,BG_049,TBD,02092025,1.3577341561714826
465,0.16989247311827957,0.7569892473118279,5.642857142857143,27.076923076923077,0.0625,0.03409090909090909,0.8333333333333334,BG_049,TBD,04092025,0.9344451871810032
615,0.08292682926829269,0.9089430894308943,3.4,39.92857142857143,0.04723127035830619,0.025044722719141325,0.72,BG_049,TBD,05092025,1.4512373237691696
