file,n_rows,domains,joinable_to_manifest,rows_lost_on_join
data\cache\um_ref\BG_031\unit_index.csv,7742,{'subject-prefixed': 7742},True,7674
data\hmm\BG_046\state_assignments.csv,13250,{'8digit': 13250},True,0
data\hmm\BG_046\state_assignments_K3.csv,13250,{'8digit': 13250},True,0
data\state_labels\state_episodes.csv,216,{'8digit': 216},True,0
data\subject_session_imro_matching\BG_031\BG_031_IMRO_Tables_Ben_004_sessions.csv,29,{'subject-prefixed': 29},False,0
data\subject_session_imro_matching\BG_031\BG_031_IMRO_Tables_BnB_002_sessions.csv,51,{'subject-prefixed': 51},False,0
data\subject_session_imro_matching\BG_040\BG_040_IMRO_Tables_BnB_007_ctx2_BG_040_sessions.csv,16,{'subject-prefixed': 16},False,0
data\subject_session_imro_matching\BG_041\BG_041_IMRO_Tables_BnB_008_ctx2_BG_041_sessions.csv,16,{'subject-prefixed': 16},False,0
data\subject_session_imro_matching\BG_049\BG_049_IMRO_Tables_BnB_DMS_v2_BG_046_sessions.csv,9,{'subject-prefixed': 9},False,0
FIGURES\decision_latents\BG_046\decision_latents_phase2_stats.csv,58,{'8digit': 58},True,0
FIGURES\decision_latents\BG_046\decision_latents_phase2_stats_smoke.csv,6,{'8digit': 6},True,0
FIGURES\popgeom_fa_cutoff\subject_usability_raw.csv,135,"{'8digit': 84, 'suffixed': 50, '6digit': 1}",True,102
FIGURES\popgeom_theta\theta_count_matched.csv,55,"{'8digit': 40, '00-padded': 15}",True,0
FIGURES\popgeom_theta\theta_per_session.csv,74,"{'8digit': 58, '00-padded': 16}",True,0
FIGURES\popgeom_theta\theta_support_matched.csv,51,"{'8digit': 36, '00-padded': 15}",True,0
FIGURES\qc\persession_gmm_amplitude.csv,90,{'subject-prefixed': 90},True,1
FIGURES\qc\qc_recovery_sweep.csv,201,{'subject-prefixed': 201},True,1
FIGURES\state_dynamics\within_session_dynamics.csv,168,"{'8digit': 147, '00-padded': 21}",True,0
FIGURES\talk_substrate\BG_046\fig_a_celltype_inventory_stats.csv,42,{'8digit': 42},True,0
FIGURES\tf_glm_bg046\cluster_bg031\master_bg.csv,7537,{'subject-prefixed': 7537},False,0
FIGURES\tf_glm_bg046\cluster_bg031\session_fractions.csv,42,{'subject-prefixed': 42},False,0
FIGURES\tf_glm_bg046\cluster_bg039\master_bg.csv,2442,{'subject-prefixed': 2442},False,0
FIGURES\tf_glm_bg046\cluster_bg039\session_fractions.csv,32,{'subject-prefixed': 32},False,0
FIGURES\tf_glm_bg046\cluster_striatum\master_bg.csv,1526,{'subject-prefixed': 1526},False,0
FIGURES\tf_glm_bg046\cluster_striatum\session_fractions.csv,8,{'subject-prefixed': 8},False,0
FIGURES\tf_glm_bg046\latency_outcome_coupling\latency_outcome_metrics.csv,520,{'subject-prefixed': 520},True,0
FIGURES\tf_glm_bg046\latency_outcome_coupling\latency_outcome_metrics_unresponsive.csv,11078,{'subject-prefixed': 11078},True,0
FIGURES\tf_glm_bg046\lick_acquisition\lick_acquisition_cells.csv,11598,{'subject-prefixed': 11598},True,0
FIGURES\tf_glm_bg046\population_geometry\BG_031\population_geometry.csv,33,{'subject-prefixed': 33},False,0
FIGURES\tf_glm_bg046\population_geometry\BG_031_qc\population_geometry.csv,26,{'subject-prefixed': 26},False,0
FIGURES\tf_glm_bg046\population_geometry\BG_039\population_geometry.csv,28,{'subject-prefixed': 28},False,0
FIGURES\tf_glm_bg046\population_geometry\BG_039_qc\population_geometry.csv,21,{'subject-prefixed': 21},False,0
FIGURES\tf_glm_bg046\population_geometry\BG_046\population_geometry.csv,33,{'subject-prefixed': 33},True,0
FIGURES\tf_glm_bg046\population_geometry\BG_046_qc\population_geometry.csv,24,{'subject-prefixed': 24},True,0
FIGURES\tf_glm_bg046\statesplit_rt_leakage\rt_leakage_metrics.csv,414,{'subject-prefixed': 414},True,0
FIGURES\tf_glm_bg046\state_conditioned\BG_031\state_split_amplitudes.csv,38,{'subject-prefixed': 38},False,0
FIGURES\tf_glm_bg046\state_conditioned\BG_039\state_split_amplitudes.csv,160,{'subject-prefixed': 160},False,0
FIGURES\tf_glm_bg046\state_conditioned\BG_046\state_split_amplitudes.csv,120,{'subject-prefixed': 120},True,0
FIGURES\tf_glm_bg046\state_x_class\state_x_class_metrics.csv,414,{'subject-prefixed': 414},True,0
FIGURES\tracking_qc\intersession_drift.csv,42,{'8digit': 42},True,0
